Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
QCOM, QUALCOMM Incorporated, 65.49, 1.39,2.17, 26514424, 1.8,
REGN, Regeneron Pharmaceuticals Inc., 415.17, 10.78,2.67, 1310387, 1.0,
ROST, Ross Stores Inc., 63.87, -0.92,-1.42, 2373171, -.3,
STX, Seagate Technology PLC, 37.71, 0.59,1.59, 4229238, .2,
SHPG, Shire plc, 141.31, -3.38,-2.34, 1277799, -.2,
SIRI, Sirius XM Holdings Inc., 5.36, 0.031,0.58, 15819326, .1,
SWKS, Skyworks Solutions Inc., 113.15, 1.96,1.76, 2773578, .3,
SBUX, Starbucks Corporation, 57.91, 0.69,1.21, 13533654, .9,
SYMC, Symantec Corporation, 29.03, 0.35,1.22, 6743922, .2,
TMUS, T-Mobile US Inc., 56.22, 0.86,1.55, 5975553, .6,
TSLA, Tesla Inc., 304.39, -1.66,-0.54, 4725271, -.2,
TXN, Texas Instruments Incorporated, 98.44, 0.04,0.04, 3218701, .0,
KHC, The Kraft Heinz Company, 79.58, 1.4,1.79, 4058749, 1.5,
PCLN, The Priceline Group Inc., 1661.11, 15.39,0.94, 1332403, .7,
TSCO, Tractor Supply Company, 60.64, 1.5,2.54, 1901448, .2,
FOX, Twenty-First Century Fox Inc., 27.35, 0.31,1.15, 5674457, .2,
FOXA, Twenty-First Century Fox Inc., 28.09, 0.34,1.23, 11045021, .3,
ULTA, Ulta Beauty Inc., 195.9, -2.11,-1.07, 1311573, -.1,
VRSK, Verisk Analytics Inc., 92.57, 0.28,0.3, 980810, .0,
VRTX, Vertex Pharmaceuticals Incorporated, 147.4, -3.91,-2.58, 1182322, -.9,
VIAB, Viacom Inc., 24.3, -0.48,-1.94, 4564408, -.2,
VOD, Vodafone Group Plc, 28.81, -0.13,-0.45, 2465724, -.1,
WBA, Walgreens Boots Alliance Inc., 68.9, 0.98,1.44, 7805886, .9,
WDC, Western Digital Corporation, 87.12, 1.03,1.2, 2777692, .3,
WYNN, Wynn Resorts Limited, 152.79, 0.6,0.39, 2148256, .1,
XLNX, Xilinx Inc., 73.62, -0.29,-0.39, 1306372, -.1,
